피험자,시선깊이(cm),DPI거리(p1-p4),동공크기
4, 15cm1, 40.7063, 69
4, 15cm2, 41.5933, 69
4, 15cm3, 40.7063, 69
4, 15cm4, 41.5933, 68
4, 15cm5, 41.5933, 69
4, 20cm1, 43.4626, 73
4, 20cm2, 44.7772, 73
4, 20cm3, 44.3847, 73
4, 20cm4, 43.4626, 74
4, 20cm5, 43.4626, 74
4, 25cm1, 48.1041, 79
4, 25cm2, 48.1041, 79
4, 25cm3, 47.1699, 79
4, 25cm4, 47.1699, 79
4, 25cm5, 47.5395, 79
4, 30cm1, 48.4665, 78
4, 30cm2, 48.7032, 80
4, 30cm3, 49.98, 78
4, 30cm4, 49.0408, 78
4, 30cm5, 49.3964, 78
4, 35cm1, 49.6488, 85
4, 35cm2, 49.98, 85
4, 35cm3, 49.6488, 85
4, 35cm4, 49.6488, 85
4, 35cm5, 49.6488, 85
4, 40cm1, 50.2892, 80
4, 40cm2, 49.6488, 79
4, 40cm3, 50.2892, 79
4, 40cm4, 51.2445, 80
4, 40cm5, 50.2892, 80
4, 45cm1, 48.7647, 80
4, 45cm2, 50, 79
4, 45cm3, 50, 80
4, 45cm4, 50, 80
4, 45cm5, 50, 80
4, 50cm1, 47.8017, 82
4, 50cm2, 48.7032, 82
4, 50cm3, 49.3356, 82
4, 50cm4, 48.3839, 81
4, 50cm5, 49.0408, 81
4, 55cm1, 47.8017, 79
4, 55cm2, 49.0408, 79
4, 55cm3, 47.1275, 79
4, 55cm4, 47.1275, 79
4, 55cm5, 47.4342, 79
4, 60cm1, 48.0833, 75
4, 60cm2, 47.1275, 75
4, 60cm3, 46.5725, 75
4, 60cm4, 46.8402, 74
4, 60cm5, 46.8402, 74
