피험자,시선깊이(cm),DPI거리(p1-p4),동공크기
1, 15cm1, 64.3506, 118
1, 15cm2, 65.192, 117
1, 15cm3, 64.3506, 115
1, 15cm4, 65.192, 112
1, 15cm5, 65.192, 111
1, 20cm1, 64.4981, 121
1, 20cm2, 64.4981, 122
1, 20cm3, 64.4981, 122
1, 20cm4, 64.1405, 121
1, 20cm5, 64.1405, 121
1, 25cm1, 68.0955, 124
1, 25cm2, 67.7422, 124
1, 25cm3, 69.4622, 123
1, 25cm4, 68.6003, 123
1, 25cm5, 69.4622, 124
1, 30cm1, 67.9779, 115
1, 30cm2, 66.1891, 116
1, 30cm3, 68.4251, 116
1, 30cm4, 67.5352, 117
1, 30cm5, 68.884, 115
1, 35cm1, 68.9638, 127
1, 35cm2, 69.4622, 127
1, 35cm3, 69.8355, 126
1, 35cm4, 69.8355, 126
1, 35cm5, 69.3542, 126
1, 40cm1, 72.4983, 125
1, 40cm2, 72.9178, 125
1, 40cm3, 72.9178, 126
1, 40cm4, 72.4983, 125
1, 40cm5, 72.9178, 124
1, 45cm1, 71.5891, 121
1, 45cm2, 71.5891, 121
1, 45cm3, 71.5891, 121
1, 45cm4, 72.0139, 120
1, 45cm5, 71.5891, 119
1, 50cm1, 71.1758, 126
1, 50cm2, 71.1758, 126
1, 50cm3, 69.857, 125
1, 50cm4, 72.0902, 125
1, 50cm5, 71.6938, 125
1, 55cm1, 73.4098, 129
1, 55cm2, 73.8241, 129
1, 55cm3, 73.4098, 129
1, 55cm4, 73.8241, 130
1, 55cm5, 73.4098, 129
1, 60cm1, 74.8465, 127
1, 60cm2, 74.8465, 128
1, 60cm3, 74.4648, 128
1, 60cm4, 75.7694, 128
1, 60cm5, 75.7694, 128
