피험자,시선깊이(cm),DPI거리(p1-p4),동공크기
8, 15cm1, 52.9245, 80
8, 15cm2, 52.9245, 80
8, 15cm3, 52.9245, 79
8, 15cm4, 52.9245, 79
8, 15cm5, 52, 79
8, 20cm1, 53.8516, 91
8, 20cm2, 52.9245, 91
8, 20cm3, 53.4883, 91
8, 20cm4, 53.4883, 91
8, 20cm5, 53.8516, 91
8, 25cm1, 57.2451, 95
8, 25cm2, 57.2451, 95
8, 25cm3, 56.3028, 95
8, 25cm4, 57.2451, 95
8, 25cm5, 56.3028, 96
8, 30cm1, 60.407, 101
8, 30cm2, 61.3514, 100
8, 30cm3, 60.0833, 100
8, 30cm4, 60.407, 100
8, 30cm5, 61.3514, 100
8, 35cm1, 61.9839, 104
8, 35cm2, 61.6847, 104
8, 35cm3, 62.6259, 104
8, 35cm4, 62.6259, 104
8, 35cm5, 62.6259, 104
8, 40cm1, 64.5136, 109
8, 40cm2, 63.5689, 109
8, 40cm3, 63.5689, 109
8, 40cm4, 63.2456, 109
8, 40cm5, 63.5689, 109
8, 45cm1, 64.846, 109
8, 45cm2, 65.4599, 109
8, 45cm3, 65.4599, 109
8, 45cm4, 65.4599, 109
8, 45cm5, 65.4599, 109
8, 50cm1, 71.3092, 110
8, 50cm2, 67.72, 110
8, 50cm3, 69.3758, 110
8, 50cm4, 66.4831, 110
8, 50cm5, 67.1863, 110
8, 55cm1, 68.0074, 111
8, 55cm2, 67.72, 110
8, 55cm3, 69.3758, 110
8, 55cm4, 66.7608, 110
8, 55cm5, 68.0074, 110
8, 60cm1, 67.72, 111
8, 60cm2, 68.9638, 111
8, 60cm3, 67.72, 111
8, 60cm4, 68.4105, 111
8, 60cm5, 68.4105, 111
