피험자,시선깊이(cm),DPI거리(p1-p4),동공크기
7, 15cm1, 46.2385, 90
7, 15cm2, 46.6154, 91
7, 15cm3, 47.7598, 92
7, 15cm4, 46.4866, 93
7, 15cm5, 45.8803, 93
7, 20cm1, 52.6308, 99
7, 20cm2, 51.4198, 99
7, 20cm3, 52.6308, 99
7, 20cm4, 51.6624, 99
7, 20cm5, 51.6624, 99
7, 25cm1, 55.5428, 102
7, 25cm2, 56.5155, 102
7, 25cm3, 56.5155, 102
7, 25cm4, 55.5428, 102
7, 25cm5, 55.5428, 101
7, 30cm1, 65.1153, 101
7, 30cm2, 64.3273, 101
7, 30cm3, 64.1327, 100
7, 30cm4, 64.1327, 100
7, 30cm5, 65.307, 100
7, 35cm1, 60.6712, 100
7, 35cm2, 60.6712, 100
7, 35cm3, 59.8415, 100
7, 35cm4, 59.6825, 100
7, 35cm5, 60.6712, 100
7, 40cm1, 63.7887, 101
7, 40cm2, 63.6396, 101
7, 40cm3, 63.7887, 100
7, 40cm4, 63.6396, 100
7, 40cm5, 63.7887, 100
7, 45cm1, 64.6297, 102
7, 45cm2, 64.6297, 102
7, 45cm3, 63.5059, 102
7, 45cm4, 64.6297, 102
7, 45cm5, 63.6396, 102
7, 50cm1, 69.4622, 105
7, 50cm2, 69.4622, 105
7, 50cm3, 69.3542, 104
7, 50cm4, 70.4557, 105
7, 50cm5, 70.4557, 105
7, 55cm1, 69.5845, 105
7, 55cm2, 69.5845, 105
7, 55cm3, 69.4622, 105
7, 55cm4, 69.4622, 105
7, 55cm5, 69.7209, 105
7, 60cm1, 65.3758, 102
7, 60cm2, 65.3758, 102
7, 60cm3, 65.4905, 102
7, 60cm4, 65.3758, 102
7, 60cm5, 65.3758, 102
